DOI	DirectLink	Software	Version	CAMIAnonymousName	Creator	DockerHubId	GitHubRepo	BiocondaRecipe	CommandUsed	Description
new	new	Autometa	cami2/03e0d77	sharp_bardeen_0	Ian J. Miller, Evan R. Rees, Jennifer Ross, Izaak Miller, Jared Baxa,  Juan Lopera, Robert L. Kerby, Federico E. Rey, Jason C. Kwan	jasonkwan/autometa:cami2	https://bitbucket.org/jason_c_kwan/autometa/src/cami2/	nan	run_autometa.py --assembly marmgCAMI2_short_read_pooled_gold_standard_assembly.fasta.gz --i_reads marmgCAMI2_short_reads.fq.gz --db_dir CAMI2_databases --maketaxtable --length_cutoff 3000 --processors 10 --output_dir binning	"nr database provided must first be formatted into a diamond database with `diamond makedb`. Note, when applicable, if Archaea and Bacteria are detected. Both are binned and concatenated with distinct bin names into the final output file. Contigs remaining unclustered by Autometa are classified under ""bin_0.""  "
new	new	Autometa	cami2/03e0d77	grave_torvalds_1	Ian J. Miller, Evan R. Rees, Jennifer Ross, Izaak Miller, Jared Baxa,  Juan Lopera, Robert L. Kerby, Federico E. Rey, Jason C. Kwan	jasonkwan/autometa/cami2	https://bitbucket.org/jason_c_kwan/autometa/src/cami2/	nan	run_autometa.py -a marmgCAMI2_short_read_pooled_gold_standard_ assembly.fasta.gz -i marmgCAMI2_short_reads.fq.gz -o . -m --HGT -p 10 -l 3000 -db 2019.01.09.cami2challenge.db/	"nr database provided must first be formatted into a diamond database with `diamond makedb`. Note, when applicable, if Archaea and Bacteria are detected. Both are binned and concatenated with distinct bin names into the final output file. Contigs remaining unclustered by Autometa are classified under ""bin_0.""  This is the binning of the marine gold assembly."
new	new	Ganon	v0.1.4	grave_ritchie_0	Vitor C. Piro, Temesgen H. Dadi, Enrico Seiler, Knut Reinert, Bernhard Y. Renard	nan	https://github.com/pirovc/ganon	nan	The workflow is described at https://github.com/mirand863/ganon_cami2	Ganon is a k-mer based read classification tool which uses Interleaved Bloom Filters in conjunction with a taxonomic clustering and a k-mer counting-filtering scheme. All 10 samples were used in this submission (0-9).
new	new	MaxBin	v2.2.7	elated_bardeen_0	Wu et al.	nan	nan	nan	./run_MaxBin.pl -contig marmgCAMI2_short_read_pooled_gold_standard_assembly.fasta -out output.out -reads marmgCAMI2_short_read_sample_0_reads.fq -reads2 marmgCAMI2_short_read_sample_1_reads.fq -reads3 marmgCAMI2_short_read_sample_2_reads.fq -reads4 marmgCAMI2_short_read_sample_3_reads.fq -reads5 marmgCAMI2_short_read_sample_4_reads.fq -reads6 marmgCAMI2_short_read_sample_5_reads.fq -reads7 marmgCAMI2_short_read_sample_6_reads.fq -reads8 marmgCAMI2_short_read_sample_7_reads.fq -reads9 marmgCAMI2_short_read_sample_8_reads.fq -reads10 marmgCAMI2_short_read_sample_9_reads.fq -thread 16	Genome binning of marmgCAMI2_short_read_pooled_gold_standard_assembly.fasta. Used the short reads of all samples as input as well.
new	new	MetaBAT2	v2.13-33-g236d20e	sleepy_ptolemy_0	Dongwan Kang, Feng Li, Edward S Kirton, Ashleigh Thomas, Rob S Egan, Hong An, Zhong Wang	metabat/metabat	https://bitbucket.org/berkeleylab/metabat/src/master/	nan	nan	gold assembly short+long reads minimum_length 1500
new	new	MetaBAT2	v2.13-33-g236d20e	sleepy_ptolemy_1	Dongwan Kang, Feng Li, Edward S Kirton, Ashleigh Thomas, Rob S Egan, Hong An, Zhong Wang	metabat/metabat	https://bitbucket.org/berkeleylab/metabat/src/master/	nan	nan	gold assembly short+long reads minimum_length 2500
new	new	MetaBAT2	v2.13-33-g236d20e	sleepy_ptolemy_2	Dongwan Kang, Feng Li, Edward S Kirton, Ashleigh Thomas, Rob S Egan, Hong An, Zhong Wang	metabat/metabat	https://bitbucket.org/berkeleylab/metabat/src/master/	nan	nan	gold assembly long reads minimum_length 1500
new	new	MetaBAT2	v2.13-33-g236d20e	sleepy_ptolemy_3	Dongwan Kang, Feng Li, Edward S Kirton, Ashleigh Thomas, Rob S Egan, Hong An, Zhong Wang	metabat/metabat	https://bitbucket.org/berkeleylab/metabat/src/master/	nan	nan	gold assembly long reads minimum_length 2500
new	new	MetaBAT2	v2.13-33-g236d20e	sleepy_ptolemy_4	Dongwan Kang, Feng Li, Edward S Kirton, Ashleigh Thomas, Rob S Egan, Hong An, Zhong Wang	metabat/metabat	https://bitbucket.org/berkeleylab/metabat/src/master/	nan	nan	gold assembly short reads minimum_length 1500
new	new	MetaBAT2	v2.13-33-g236d20e	sleepy_ptolemy_4	Dongwan Kang, Feng Li, Edward S Kirton, Ashleigh Thomas, Rob S Egan, Hong An, Zhong Wang	metabat/metabat	https://bitbucket.org/berkeleylab/metabat/src/master/	nan	nan	gold assembly short reads minimum_length 2500
